video_id,title,published_at,channel_id,query,country,likes,views,comments_count,top_comments,transcript
_kiV9SA75Fw,Woman Says quotPatriarchy Threatens Women39s Safety and Woman Says quotThere Should Be No Societal Pressure,2025-03-28T23:28:33Z,UCWC9y-2d3TA7lDY8fXZTLkQ,women safety,IN,1,6,2,All that complaining just to say I dont want to lead,"[Music] a wife's primary duty is to serve her husband i believe that as just a person as a woman in general my first priority is to God and being obedient to him but being a wife I believe being a submissive wife and loving your husband as we have been asked to by God um I believe that that's the foundational purpose of being a wife and then in turn leading your children when I first got married I got married at 18 feel like in my role as a wife I have learned that in order for me to be a good mother in order for me to be good in our marriage i am putting him first and I am serving him and that's my priority it's crazy how this type of woman is not the norm anymore uh back in time not so not so far long ago too this was the normal type of woman but now we have the modern woman yeah I mean I definitely agree um I got married at 21 years old um I was never really like the you know independent woman i grew up with a single mother and when I first met my husband we were 14 years old and it instantly I was like this is the man that I want to marry and it really made me dive into being a godly wife so you kind of you touched on that a little bit and I 100% agree that when you're serving your husband um you have to also serve God and if you do not have that kind of relationship with your husband that you do with God then it's going to kind of lead down the path of like I'm me and I care about myself and he's going to care about himself instead of making those he's actually right you know a relationship that's uh intertwined with uh religion and God it's uh there's a better stronger foundation there you know there's a level of accountability that you have because you're accountable to God the higher purpose a higher power so it would definitely be harder for you guys to break up it'd be like breaking up with God itself right sacrifices for each other so I definitely you know for myself I try to put him above all obviously I do take care of myself it's not like I'm just like oh yeah like she can just go down the drain it's a give and take so I fully am there for my husband and whatever he needs me to do is something that I look forward to doing for him because whatever you give you will receive so I try to be the best wife that I can be to him so that he can be the best husband that he can be to me y have the disagree step forward do you see the difference between the agree and disagree you could It's It's the look it's a certain feel that they give off so does it go both ways is it is it just I should serve my husband not my husband should serve me as well you see she's automatically looking to get something it's that's what happens when you don't believe in God it's just automatically me me um so in our view and as I believe Christians should have that view is your husband is supposed to love you as Christ loved the church and that actually is a bigger task than wives submit to your husband so in turn I'm submitting to him but he is actually supposed to be obedient to God which means he's supposed to love me as much and if he loves me as much as Christ loves the church then it's going to be a mutual relationship exactly you know so since the husband loves God and he worships God and he uh is going to listen to his teachings he wouldn't mistreat his wife because one of God's orders is treat your wife good you know so that's another reason why women should look for men that have faith because they will not dishonor God so they won't dishonor you essentially if we're going to have mutual conversations mutual decisions be made it's not that he's ruling over me he's telling me what to do and taking charge of everything it's that he loves me enough to care for me as he should i think as any husband should for his wife yeah 100% i think that um a big misconception with submitting to your husband is that it's I submit to him and he has the final say and he does whatever he wants and I don't have a say it's more of like okay I I'm going to come to you with my opinions and these are the ideas that I have and at the end of the day he will decide on the ideas you know but I do have that say i can go to him and I say ""Okay well I think that we should move to Thailand."" And he's going to decide if that's a good idea for us or not it's not like he comes in the house and he's like ""Yeah we're moving let's go."" Yeah a good man will listen a good man will you know counsel with his wife and take her suggestions you know but ultimately it should come down to the man's say right that's all it is but we do take your suggestions go back why does he get to decide that's what I was wondering because leadership is a service because he's a better leader and he's more logical so the service he provides is his leadership and if you've ever been in a leadership position then you'll know that it's actually an immense weight to carry to lead people and and just carry that final responsibility and as a servant leader you know you have their best in mind when you when you are leading people so that's that's the service that he provides and it's actually Yeah well it I guess that's a great question it depends on how you would define submission being a triedwife so as a Christian I would say there's definitely a line my first priority is to God and u my husband can't cause me to do anything that would jeopardize that and he can't treat me in a way that's dishonorable or not generous so I think I in my partnership with my husband it really does feel like a partnership and so I disagree in the sense that for us major life decisions even dayto-day decisions there is negotiation between the two of us often times I will win most negotiations why would you be happy that you're bullying your husband it's kind of you're just pretty much showing that he's a weak man sometimes as well but there is a foundation of trust communication leadership but I think for us our marriage functions more like a partnership where um yeah I guess mutual uh I'm pretty sure he's in this relationship where he's walking on eggshells he's essentially just telling her ""Yeah yeah sure."" But in his heart he wants to put his foot down but he can't because she might use um sex for compliance or you know he might have to sleep on the couch or the silent treatment so he just doesn't want to go through something like that so he'll just agree you know uh trust and negotiation comes into a play a lot more than uh you know we're doing this and that's how we're doing it so and do you guys believe that the man or the husband should be a leader just because he is the male or is it because he displays certain leadership qualities could it be the other way around if the woman well some certain men are not smart or leaders you know but it's up to the woman to identify if this man is worthy enough for her to be led by him you know you just got to choose a good leader you got to scan him from head to toe and just analyze is could this guy lead me to the promised land was somebody who would fit better into the role of a leader um no it's it's built in it's like baked in in biology so hormonally you know men's No I don't agree with that how so um I mean sure you can say that there are bi See she said that she didn't agree but now she's pretty much saying she agrees with the biology part you see that's why men have to be leaders because her first response was emotion you can't lead by emotion like that logical difference between a man and a woman but that doesn't make why I get so upset because why are men inherent triggeredly born deserving respect but we have to earn all of our respect we're not born with respect we have to earn it you know everybody has to earn their respect she thinks that it should just be given but no you have to earn all respect in this life right there was there's no biology that says because of feminism we have to earn it because of feminism where we made ourselves compete with men rather than relaxing into our feminine maturity exactly you wanted to be equal this is it we don't have to earn yeah what do you think feminism is i'm just curious of course it is it's the leveling of the playing ground for the two genders yes well um I would go by the definitions of the firstwave feminist who sought to overthrow the family and that's what they sought to do i don't think that's true so who who would you say were like the first wave well feminism the the typical definition is social political and economic equality between the sexes i don't think anything in that definition is saying we should overthrow the family or that we don't believe in loving uh marriages or partnerships but when you say these biological differences between men and women make men better suited to be a leader which ones and where is where's like your basis for that what what skills men are larger they're stronger hormonally men produce more vasopressin which is the hormone that makes them better um protectors and providers they're able to just respond better to threats whereas women produce more oxytocin we're smaller we're more vulnerable we're the fairer sex the oxytocin is a trust and you know bonding hormone that we're supposed to use to take care of those weaker than us like children like the sick the poor the elderly when we channel that you know that the way that God made us then those people are actually under our authority as women we have the responsibility to care for them just like men have the responsibility to use their strength to care for us i just I think what's standing out to me is that these biological differences that you're noting is actually something that feminism is seeking to actually support because true feminism at its core is about the safety and equity for women in society so that women cannot just it's not about dismantling the family what's what does she mean by the safety like this is 2025 women are the safest ever in history especially uh in uh North America i don't know about you know other other third world settings but North America set up maximum safety for women we got police we got the fire departments we got the air conditioning we have everything to keep them comfortable and safe what is she talking about it's about creating agency for women to choose their lives not at their not not based on you know whatever your personal beliefs are or the beliefs that are outlined by society but whatever path that they have chosen for themselves that's at the true core of feminism it's not about women being better or stronger or the same as men it's about women being safe in this world no it's about being equal to men in a world where the patriarchy threatens women's safety and agency sorry sorry whoa how does the patriarchy threaten your safety we keep you safe without men without good men bad men would take you guys over you know they would have have their way with you we are the safety can I ask how how are how are you threatened how am I threatened so I'll I'll tie it back to the biological differences that you noted there i got to hear this there there's a reality that women face both biologically which we all can you know we all all of us here can understand and empathize with but also just like within society there is a there's a pretty unequal steep right and so for the role that men occupy just in general in society and the freedom that men are able to maneuver through society with that to me is why feminism is so necessary to open paths for women who might otherwise not be able to she didn't explain how we're how the men are a threat she just gave a word salad and said nothing at all about anything recently in Iran recently in Iran I'll give you an example recently in Iran there was a woman who was protesting because there was a strict dress code policy she had to go all the way to Iran to make a point booked the ticket and everything you like we're talking about women in North America first world how are you unsafe and on top of that how does the patriarchy meaning men make you guys more unsafe please explain i would like to know and she walked through the streets in her protest within her underwear it was a very brave courageous act that is of true feminism and what happened she was disappeared so if you look at the way that society treats women's bodies versus men's bodies that inherent difference it creates violence that threatens us at our core and so by feeling as though we need to submit ourselves to men to me that that sounds like a like a defense mechanism and imagine tying your safety to that one story so she's basically saying she's afraid of her safety in North America because of a story of something in that happened in Iran in their culture like isn't that mental illness that's got to be mental illness what stands out when I'm listening to you all speak and I and and if you find empowerment through submitting to your husband that's fine but for me personally my brand of feminism is that I think that if a woman finds empowerment through that more power to her but I think that the women who don't find that empowering should also have the ability or the agency to do as they please that's just how I view it yeah can I circle back something you said earlier so a lot of this oh they're bigger than us and is true men on average are far bigger than women but I don't see how that goes into like how emotional someone is or how these leadership skills that they have no but it's if that was the case then why This girl knows the the science and biology but she's playing dumb like you know like she knows that women get periods and they're more emotional this that and that she knows the whole but she's acting like it doesn't exist i don't get it why did God create so many women that are excellent attorneys excellent doctors it's almost 50% of the field now that these women are killing business owners why did they give Why did God give so many women because there's so much overlap when it doesn't come to physical strength between men and women on things like how agreeable they are if they're able to have those leadership qualities so many women were blessed with those absolutely women are are brilliant yeah so women are excellent adviserss and mothers and teachers and influencers right we know about that women are great influencers they're the most powerful influencers so I'm not in any way saying that women aren't capable i'm just saying should we go out and compete with men or should we actually take our power and harness it and use it in other ways and in fact some of the anti-suffragettes held this belief they were concerned that if women achieved suffrage that their influence would be diluted because they would be forced to go out and compete like headtohead and they would kind of just lose that status as being admired as wise counsel in society so so like these females that are like pediatric surgeons like some of the top in the field you don't think they're doing as much of a service as if they were just to stay home and nurture well I think they're putting themselves at a disadvantage too because look at the wage gap there does exist a wage gap even if you have a really skilled like female surgeon and a male surgeon and it's because biologically like they can't push and push and push themselves at the same in the same way that a man can so like no this is true i I disagree completely i've seen women not only not only do women usually um meet expectations they exceed them in in a lot of situations and I don't think that you can say like there are so many women who have just could you please give an example and stop being so vague like I they don't ever give examples of anything they just say the women are so great at this and but but what exactly is the this and that could you explain further please been so much far greater than their male counterparts in and almost like what like what exactly what profession what industry because from what I know men dominate all fields that they're in so I I I don't know exactly what she's talking about in what in a lot of situations in in like in school in science in in in all of these places where women are coming to the forefront and say and like doing their jobs and doing them well they've not only exceeded but they've had to work twice as And why do they have to work twice as hard because of the patriarchy huh what a cop out everything because of the patriarchy what what do you mean by patriarchy are you talking about a certain group of men or you talking about all men twice as hard for them because we are we are bodies like we are built that we are constantly working i'm working right now cuz my body's getting ready to ovulate right whereas men don't work in that same way like my body is always working harder than a man's body i will say that we are working harder because our bodies are built to do something that a man could never do do you believe that then the wife should lead the family no I think that I agree you see all this complaining but you don't even want to lead you see what I'm saying they want to be known for being good leaders but they don't want to lead so do you not understand why men are suited to be leaders because we naturally want to be leaders the math is not mathing with these people agree with her that it's a partnership like that a man should never be thought of as the final decision as that how he is suddenly able to to lead and know know but they can't even see how they're illogical you know even just that one statement they don't want the man to be just the automatic leader but they don't want to lead so it's like what are you complaining about it's very childish at this It's very childish everything and know all and then she is just here to I don't know serve and sit by it's like they don't want to help they don't want to serve you they want they don't they don't like that word that word serve it's like they think it's slavery automatic slavery but if you're mature and you understand what that word means it's not a bad thing they need to just be reprogrammed from that different lens is needed people should be looked at as individuals and not based on their gender so there could be areas of expertise that my partner is is better equipped for and there are areas of expertise I am better equipped for and to your earlier point like it it's like women didn't have advantages for so long and now we're seeing this shift where like boys need our help because as soon as you let women into education we started surpassing them and our wages have gone up okay so women do uh enroll into college and university more but they tend to go with the teaching nursing psychology majors compared to men that follow the whole science technology and math path right so her point about going to college more doesn't make you guys better leaders sorry up and up and up let women into education could you clarify that no no saying as soon as we started pushing for like women to get into STEM and we started doing this push to get women educated we not only met the the same standard that men were operating at we exceeded it and now women are outperforming men in almost all like exams I don't think women I don't think people that's cap man people should do anything I think people can do anything I don't think there should be any societal expectation on any person man or you see that's the problem I have with their form of leadership there's no structure She just said nobody should have any roles or any expectations in society you can just do what you want but that's not how the world works there's expectations and there's roles for everybody you know everybody's got to play a part without any structure without leadership without defined roles I just think there's total chaos and total mayhem and that's why men should lead because women don't want to on to the next manifest my own destiny sex drugs and rock and roll the perfect recipe may they remember me my words are live on i'm guided by an energy of flame hold it close to you check out my melody this is the media that's been leading you i'll show you a thing misdirection what's the message they don't want you to win"
Bw3CHh8bdSY,Women Safety Tops The Most Important Issue For Tamil Nadu Assembly Elections 2026  shorts,2025-03-28T17:37:42Z,UCYPvAwZP8pZhSMW8qs7cVCw,women safety,IN,14,582,1,What about your city ,let's come to the most important issue for the voters of Tamil Nad So when this question was asked that what matters most it's interesting that women's safety came up at uh the top with number one 15% of the respondents saying women's safety was their number one issue Rising prices came in at number two at 10% alcohol and drug drug abuse came in at 10% and unemployment came in at 8% So the big factor there women's safety rising prices uh alcohol uh and drug abuse at 10 unemployment at 8 corruption doesn't feature amongst the first four issues not as it's not an issue but what the BJP hits out or the AIDMK tries to hit out isn't seen as that being that Hi
4dezfnYFhDg,Saints Safety Justin Reid gives a shoutout to the women on his team for womenshistorymonth,2025-03-28T17:03:45Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,women safety,IN,205,6879,21,must have been a weird locker room contrast with butker   I miss you Justin Chiefskingdom  Yo no way Im actually first go chiefs We love u Justin Reid  Why I thought that was Dwayne from Dwayne n Jazz channel   Whens National Mens Month  Go titans  Im the second coming the Chiefs go Chiefs go cheifs how about those chiefs and were not paying the rest or glazing Patrick mahomes is just like that,yeah women's History Month I mean I have women run almost every facet of all the things that I do both on the field and off the field um I actually have Giana with me the day we started working over a year ago and she's helped me so much with both the growth of my foundation and also with some marketing stuff off the field um Alana Murray the executive director of my Foundation which we've had a record year last year because of all the amazing things and hard work that she's put into it um my mom always said things like if you want to get a job done ask a woman to do it because they won't waste time they'll ask the right questions they'll communicate and at the end of the day they'll make it happen so shout out to all the women out there it's Y and uh we appreciate you
HjJ4kUMAQz4,selfdefenseforwomen selfdifence womensafety kalaripaytuu  filipinomartialarts wingchun taichi,2025-03-28T16:15:39Z,UCruPlWt1MXZ1vqw_J82WxBw,women safety,IN,4,260,0,,
NQJorgSRXv8,Women39s Safety Concerns In Healthcare Nurses Face Security Issues During Night Shifts  Details,2025-03-28T16:02:06Z,UC90RW5ZmBBqp4r2QIQxfACA,women safety,IN,404,31308,48,   24                 Absolutely right                 govt Should take necessary action for their safty  Thank you Kanaknews Finally kaha najar re ta padila a problem  Thanks a lot  Its High time that govt should take immediate action  This is not nursethis is Nursing office  Right  Aagya ama bharatare apananku kouthibi surakhya milibani aethi jor jahar mulak tahara Aemiti bohut case jhia mane police station jibaku bhaya karuchhanti  harrasment sikar sabubele houchanti,
EZInSPFeqZk,womenempowerment womenissues avneetkaur podcastclips malefeminist womensafety mumbai shorts,2025-03-28T16:00:21Z,UCBQ_ZVeavO_8qURhDb89uuA,women safety,IN,0,3,0,,
PjAx3c_VIa4,Tamil Nadu Voter Poll Women39s Safety Top Concern For Tamil Nadu Voters DMK Governance Questioned,2025-03-28T15:49:01Z,UCYPvAwZP8pZhSMW8qs7cVCw,women safety,IN,5,885,7,Never ever BJP in Tamilnadu  Godi media our jalra Rahul bring BJP agenda in Tamilnadu,let's come to the most important issue for the voters of Tamil Nad So when this question was asked that what matters most it's interesting that women's safety came up at uh the top with number one 15% of the respondents saying women's safety was their number one issue Rising prices came in at number two at 10% alcohol and drug drug abuse came in at 10% and unemployment came in at 8% So the big factor there women's safety rising prices uh alcohol uh and drug abuse at 10 unemployment at 8 corruption doesn't feature amongst the first four issues Not as if it's not an issue but what the BJP hits out or the AIDMK tries to hit out isn't seen as that being that high What do you make Naran Lakshm fact that women's safety has come in as the number one issue for the voters of Tamil Nad in this poll that Cota has done Um Rahul I think that's a very real concern I think we've had several high-profile incidents where uh you know there have been assaults and rapes and uh it has really struck a chord I do think that uh in terms of local governance I don't know whether it's the state government should set that tone and tenor but a lot of this boils down to very local issues uh as we know from global statistics you know rape and assault and threats to women's safety usually come from a known person in a majority of cases obviously here there have been many cases where it's been a stranger and to that extent it reflects law and governance sorry law and order issues at a very local level or you know it's not like a statewide alarm has been raised So I think what you're seeing is the accumulation of many such small incidents and certainly I think the DMK wants to do better on one parameter It needs to pull up its uh soft you know the fact that women security comes up so high up in this poll It's not you know price rise unemployment are cookie clutter generic issues they'll feature in any poll but women safety is like a really strong message to Stalin and to your government Yes Yeah Yeah Yeah Yeah Rahul I think it is it's a good thing that people put in women safety as the top priority Uh because the DMK government gives so much of importance especially to the women No that's not why they put it there They put it there because you're not doing a good enough job They put it there because you're not doing a good job on human safety which is why it's the number one issue That's the way to interpret the data No no no no Let me let me come come allow me to speak See if you look at the data of the last 10 years crimes that have taken place during the ADMK regime and compare that with what is happening in the last 3 years there is no increase In fact there is a decrease and in the recent times of India survey where almost six cities from the uh state of Tamil Nadu feature in the safest cities in India for women That is how we maintain the women's issue Okay We know Svin wants to come in and respond to the issues that matter to the voters of Tamilad and women security Svenan interpreting the data to show that they're doing an amazing job which is why it's coming up on top not because they're doing a bad job Let Vinod Selv respond Rahul I Rahul I I I remember Saran asking you who's your English teacher I would ask I would like to ask him the same question who is this English teacher because you know it is very basic and it's very understandable that the people are very you know when you come to a show about data and polling you should ask where did you study statistics and economics and polling that's far more relevant than where did you study English but please go on who is your max you know it is very concerning what is happening to the women of the state you know the number of uh cases of molestation harassment have been going up by the day and somewhere if you see all these people are related to anyone who is a part of the DMK So you know being in the DMK or using the DMK flag in the car gives them the signal gives them the license to do whatever atrocities against women and go scot-free Also the issue of alcohol and drug abuse has been going up extremely high and also with regard to the survey I was little concerned when you were talking about Vijay getting 18% But after you said that the DMK satisfaction is at 15% I'm very much convinced that the survey has not been done the right manner because 15% can be convinced about the DMK's good governance It's a big joke in the state because everywhere you go you find disgruntled people completely unhappy with the way this govern there is no governance literally It is just about how they project one family and the next uh prince in in line you know to be uh made this chief minister very soon Uh in his talent I remember s also asking about has any sports minister ever performed like this before Has any sports minister ever been given so much importance before Have any has have all the ministers rallied behind any one minister before like this You see all the seniors stand up in line most of them coming falling on his feet taking blessings That's the kind of importance that is being given this one family It's like a monarchy what is happening in Tamil Nadu So I don't think uh any of these surveys really matter 2026 is going to be the year of the NDA and the NDA is for sure to form the government in Tamil Nadu notwithstanding what DMK or any LKG party like the TVK is going to come to the frame Well you're being dismissive of the TVK If their leader comes in at 18% double that of your state president you shouldn't be dismissive That that is absolutely correct
Dxn9QReIKnE,relatable society women safety girls fyp shorts,2025-03-28T15:41:31Z,UCtT4rTram65Efh4h7yF-6TA,women safety,IN,3,6,0,,
uilw5XYAWLQ,AICC Media cell Chairman Pawan Khera targets BJP Govt over quotWomen Safetyquot issues in the sate,2025-03-28T15:21:38Z,UC1vOCYEu3DfoI4fYcfWKmWA,women safety,IN,19,1559,0,,
fzSFNx6Vubk,     Women Safety Is A Joke In Odisha Says Senior Congress Leader Pawan Khera,2025-03-28T14:29:00Z,UCZzaxCAclS9UoMtl51XuXkQ,women safety,IN,113,4399,12,     Jay congress zindabad   Jay congress  Jai Congress cong    Jay congress  Thanks sir    Jayhind   Jay Congress party  Puni dhela maila kemiti,
WYRqqKuAui4,  Nellai Court   TN Govt  TN Police  Thoothukudi  Women Safety,2025-03-28T13:59:59Z,UCoOu4D7foJWfKvcDLxqrF2Q,women safety,IN,20,496,2,super,joshua forum
hzRox4mDzPc,Congress Vows to Intensify Protest for Women Safety Seeks Intervention of Human Rights Commission,2025-03-28T13:58:36Z,UCCTrqrHKqdS915K-TpMG6pg,women safety,IN,43,1944,4,        l  BJP hataoo  Jay Congress   rape and murder  1000       2                 ,
ylJjLf5hS7M,         Women Safety Kanoon  new,2025-03-28T13:29:14Z,UCCzNCKUR7asv3sO3_EMnGvQ,women safety,IN,275,4597,2,Jis dharam may Mahela ko shouder kaha ya tu houna he thaJai bheem,
LKmzk5VM0pI,Safety Concerns for Indian Women Using Ola and Uber What You Need to Know uberdrivers olacabs,2025-03-28T13:11:47Z,UCXmu6YVJkz24C7eEny5naTQ,women safety,IN,0,3,0,,
_ZLDBy03G3U,Women39s Safety Bengali Version,2025-03-28T13:04:18Z,UC-odQDzjAtlrLwwHOpiuuFA,women safety,IN,1,6,0,,
YfI8_e8EMvs,With ResQ your safety is your choice FearlesslyFeminine,2025-03-28T13:03:31Z,UC3gV0nEApo7nRH_a9BpSTQg,women safety,IN,13,507,0,,[Music] hey hey hey [Music]
xu50DAMMGrA,Safe Secure Women,2025-03-28T13:00:21Z,UC1UztkA2NdgzYRHI6vt7tXQ,women safety,US,1,1,0,,[Music] as women we want to feel safe we want to feel secure and when our safety or the safety of those we love is threatened you will see a very aggressive side of the female energy come out and it's powerful I love working with women in these situations when I find out they're dealing with a stalker or they're dealing with something that is causing them to feel unsafe then proper preparation is going to help them even harness that energy even more to where they can live in a state of calm awareness now [Music]
svJ7tQGcx5E,shortsfeed shocking case Love traps women safety news,2025-03-28T12:36:58Z,UCcLNedBAgUKZwhuRp4kG-xA,women safety,IN,5,30,0,,
Od6qRH9dDh8,safety is Important  ajjasgpstracker traffic safety women,2025-03-28T12:30:22Z,UCj_fiSiYGan29m22nL6vPLA,women safety,IN,6,749,1,,
GR_1MbSkMPI,Women Safety is a joke in Odisha Congress Party will definitely not tolerate this Pawan Khera,2025-03-28T12:11:00Z,UCaErUjJ2bJ7I7fYqrvwS3bw,women safety,IN,18,751,6,JAYCONGRESS   What were you doing in the kiit function  BJP hatao odisha banchao,
5ryaaC-bP0g, She Used TRASH to Survive a Terrifying Night GENIUS Safety Tip,2025-03-28T12:10:57Z,UCLbIc8H1w3quMYcQeBJCVmg,women safety,US,0,3,0,,she was just heading home but something felt wrong and she was right her instincts screamed danger and she had only seconds to react then in a moment of pure survival Instinct she did something crazy she became just another piece of garbage she pressed herself deeper into the trash her pulse pounding in her ears hoping they wouldn't notice the fear radiating from her hiding spot they circled back searching for her but saw nothing but trash they left empty-handed never real realizing she was hiding in plain sight sometimes survival means thinking outside the box or inside the trash stay aware stay safe would you have thought this fast let me know in the comments
_ulq59GQY2U,Congress gathers in Assembly over women39s safety                                 Congress Come Back,2025-03-28T11:49:47Z,UCaI9DeRM1y6HXj4nFU1Hs6A,women safety,IN,2,5,0,,
ovqTReOexXU,Policy on Women safety in India,2025-03-28T10:24:36Z,UCbv3PveIBe8EKCil_GxtRrQ,women safety,IN,7,125,4,Thanks maam  Thank you mam youre so hardworking   Can you please discuss the sample paper please   Sample Page pls,
hr-WdNt_AQ8,Women Safety Vijay  HOPE,2025-03-28T10:04:13Z,UCSbUX_gKMur5FPcTbH2L5mA,women safety,IN,355,4864,4,  Cute   Tvk   Tvk,
